Koide Q scan — all quark triplets with sign and inverse variations
Target Q = 2/3 = 0.666667
Quark masses (PDG 2024 MSbar, MeV): u=2.16, d=4.67, s=93.4, c=1270, b=4183, t=162500

Total cases enumerated: 623
  Dimensionally valid   (n_inv=0 or 3, all MeV^{+/-1/2}): 151
  Dimensionally INVALID (n_inv=1 or 2, mixes MeV^{+1/2} and MeV^{-1/2}): 472 [marked *]

NOTE: Mixed triples (n_inv=1 or 2) sum sqrt(m) and 1/sqrt(m) with
      incompatible dimensions -- Q has no physical meaning for these.
      UNIT DEPENDENCE TEST: Q(s,c,1/b) = 0.6639 in MeV but 0.4340 in GeV.
      The 'near-2/3' values for mixed triples are a MeV-unit artifact.
      All-direct and all-inverse Q values are unit-independent (scale-invariant).

Legend:
  1/x  = inverse mass used for quark x
  -x   = negative sqrt (sign flip in Koide root)
  n_inv = number of inverted quarks, n_neg = number with negative sqrt
  *    = dimensionally invalid (mixed direct and inverse)

Rank  Triplet                                   Q      |Q-2/3|  n_inv  n_neg   dim
200   (u, s, t)                          0.947524     0.280857      0      0   ok

================================================================================
TOP HITS BY CATEGORY (best per category, |Q-2/3| < 0.05)
================================================================================

--- n_inv=0 (all-normal), n_neg=0 (all-positive) ---
  Triplet                                   Q      |Q-2/3|
  (c, b, t)                          0.662699     0.003968
  (u, s, c)                          0.624245     0.042421

--- n_inv=0 (all-normal), n_neg=2 (2-negative) ---
  Triplet                                   Q      |Q-2/3|
  (s, -c, -b)                        0.674974     0.008307
  (u, -s, -c)                        0.710777     0.044111

--- n_inv=1 (1-inverse), n_neg=0 (all-positive) ---
  Triplet                                   Q      |Q-2/3|
  (s, c, 1/t)                        0.664281     0.002385
  (s, c, 1/b)                        0.663901     0.002766
  (1/d, s, c)                        0.651089     0.015578
  (1/u, s, c)                        0.645057     0.021610
  (d, s, 1/c)                        0.697992     0.031325
  (d, s, 1/b)                        0.699474     0.032807
  (d, s, 1/t)                        0.701009     0.034342
  (1/u, d, s)                        0.630026     0.036640
  (u, 1/d, s)                        0.712150     0.045483

--- n_inv=1 (1-inverse), n_neg=1 (1-negative) ---
  Triplet                                   Q      |Q-2/3|
  (s, c, -1/b)                       0.664808     0.001859
  (s, c, -1/t)                       0.664427     0.002240
  (d, s, -1/t)                       0.701597     0.034930
  (d, s, -1/b)                       0.703142     0.036475
  (d, s, -1/c)                       0.704649     0.037982

--- n_inv=1 (1-inverse), n_neg=2 (2-negative) ---
  Triplet                                   Q      |Q-2/3|
  (1/d, -s, -c)                      0.678244     0.011577
  (1/u, -s, -c)                      0.685002     0.018335

--- n_inv=2 (2-inverse), n_neg=0 (all-positive) ---
  Triplet                                   Q      |Q-2/3|
  (1/u, d, 1/t)                      0.634653     0.032014
  (u, 1/d, 1/t)                      0.634133     0.032534
  (1/u, d, 1/b)                      0.628927     0.037740
  (u, 1/d, 1/b)                      0.625771     0.040896
  (1/u, d, 1/c)                      0.623483     0.043184
  (u, 1/d, 1/c)                      0.617896     0.048770

--- n_inv=2 (2-inverse), n_neg=1 (1-negative) ---
  Triplet                                   Q      |Q-2/3|
  (u, 1/d, -1/c)                     0.654851     0.011815
  (1/u, d, -1/c)                     0.648605     0.018061
  (1/u, d, -1/s)                     0.686150     0.019483
  (u, 1/d, -1/b)                     0.646123     0.020544
  (1/u, d, -1/b)                     0.642766     0.023900
  (u, 1/d, -1/t)                     0.637398     0.029269
  (1/u, d, -1/t)                     0.636873     0.029794
  (u, 1/d, -1/s)                     0.712932     0.046265

--- n_inv=3 (3-inverse), n_neg=0 (all-positive) ---
  Triplet                                   Q      |Q-2/3|
  (1/d, 1/s, 1/b)                    0.665222     0.001445
  (1/s, 1/c, 1/t)                    0.640329     0.026338
  (1/d, 1/s, 1/c)                    0.638868     0.027799
  (1/d, 1/s, 1/t)                    0.695217     0.028550

--- n_inv=3 (3-inverse), n_neg=1 (1-negative) ---
  Triplet                                   Q      |Q-2/3|
  (1/s, 1/c, -1/t)                   0.690510     0.023843
  (1/u, 1/d, -1/s)                   0.636296     0.030370
  (1/d, 1/s, -1/t)                   0.707508     0.040841

=====================================================================================
DIMENSIONALLY VALID CASES ONLY (n_inv=0 all-direct, or n_inv=3 all-inverse)
Ranked by |Q-2/3|
=====================================================================================

Rank  Triplet                                   Q      |Q-2/3|         type
---------------------------------------------------------------------------
1     (1/d, 1/s, 1/b)                    0.665222     0.001445  all-inverse
2     (c, b, t)                          0.662699     0.003968   all-direct
3     (s, -c, -b)                        0.674974     0.008307   all-direct
4     (1/s, 1/c, -1/t)                   0.690510     0.023843  all-inverse
5     (1/s, 1/c, 1/t)                    0.640329     0.026338  all-inverse
6     (1/d, 1/s, 1/c)                    0.638868     0.027799  all-inverse
7     (1/d, 1/s, 1/t)                    0.695217     0.028550  all-inverse
8     (1/u, 1/d, -1/s)                   0.636296     0.030370  all-inverse
9     (1/d, 1/s, -1/t)                   0.707508     0.040841  all-inverse
10    (u, s, c)                          0.624245     0.042421   all-direct
11    (u, -s, -c)                        0.710777     0.044111   all-direct
12    (1/u, 1/s, 1/c)                    0.719683     0.053016  all-inverse
13    (1/c, 1/b, -1/t)                   0.613042     0.053624  all-inverse
14    (d, s, c)                          0.607307     0.059360   all-direct
15    (d, s, b)                          0.731497     0.064830   all-direct
16    (s, b, t)                          0.731598     0.064932   all-direct
17    (d, -s, -c)                        0.735089     0.068422   all-direct
18    (1/u, 1/s, 1/b)                    0.741690     0.075023  all-inverse
19    (1/d, 1/s, -1/b)                   0.742020     0.075353  all-inverse
20    (1/s, 1/b, 1/t)                    0.742919     0.076252  all-inverse
21    (u, s, b)                          0.744462     0.077795   all-direct
22    (d, b, t)                          0.754745     0.088078   all-direct
23    (u, b, t)                          0.756959     0.090292   all-direct
24    (1/u, 1/s, 1/t)                    0.766002     0.099336  all-inverse
